species_id	species_code	species_name	binding_affinity
1	human	人类	158.9900
1	human	人类	158.9900
1	human	人类	207.9900
1	human	人类	212.0100
1	human	人类	175.9900
1	human	人类	184.0100
1	human	人类	208.0200
1	human	人类	230.0100
1	human	人类	212.9900
1	human	人类	214.9900
1	human	人类	216.0100
1	human	人类	220.9900
1	human	人类	166.9900
1	human	人类	163.0000
1	human	人类	208.0000
1	human	人类	199.0100
1	human	人类	164.0100
1	human	人类	208.9900
1	human	人类	188.0000
1	human	人类	184.0100
1	human	人类	165.0000
1	human	人类	170.0000
1	human	人类	218.0100
1	human	人类	211.9900
1	human	人类	210.0100
1	human	人类	232.9900
1	human	人类	216.0200
1	human	人类	199.9900
1	human	人类	190.9900
1	human	人类	214.0000
1	human	人类	225.0100
1	human	人类	225.0000
1	human	人类	180.9900
1	human	人类	176.9900
1	human	人类	191.0000
1	human	人类	204.9900
1	human	人类	158.0100
1	human	人类	158.0100
1	human	人类	158.0100
1	human	人类	165.0100
1	human	人类	167.0100
1	human	人类	161.0100
1	human	人类	158.0000
1	human	人类	212.0100
1	human	人类	159.0100
1	human	人类	167.0100
1	human	人类	158.0000
1	human	人类	157.9900
1	human	人类	157.9900
1	human	人类	175.0000
1	human	人类	216.0100
1	human	人类	175.0100
1	human	人类	205.0000
1	human	人类	182.0100
1	human	人类	209.9900
1	human	人类	198.0100
1	human	人类	184.0100
1	human	人类	193.0000
1	human	人类	199.0000
1	human	人类	160.0000
1	human	人类	180.9900
1	human	人类	204.0100
1	human	人类	198.0000
1	human	人类	181.0100
1	human	人类	173.9900
1	human	人类	172.0000
1	human	人类	232.0200
1	human	人类	190.9900
1	human	人类	158.0100
1	human	人类	160.9900
1	human	人类	202.0100
1	human	人类	206.0000
1	human	人类	171.0100
1	human	人类	188.9900
1	human	人类	203.0000
1	human	人类	168.0000
1	human	人类	211.0100
1	human	人类	195.0000
1	human	人类	195.0000
1	human	人类	202.9900
1	human	人类	202.9900
1	human	人类	214.9900
1	human	人类	199.0100
1	human	人类	204.0100
1	human	人类	214.9900
1	human	人类	157.0100
1	human	人类	157.0100
1	human	人类	157.0000
1	human	人类	157.0000
1	human	人类	195.0000
1	human	人类	156.9900
1	human	人类	156.9900
1	human	人类	156.9900
1	human	人类	204.0000
1	human	人类	222.0000
1	human	人类	206.0100
1	human	人类	207.9800
1	human	人类	198.0100
1	human	人类	201.0000
1	human	人类	199.0000
1	human	人类	214.0000
1	human	人类	176.0000
1	human	人类	209.0000
1	human	人类	182.0000
1	human	人类	206.0000
1	human	人类	194.0100
1	human	人类	202.0200
1	human	人类	223.0000
1	human	人类	189.9900
1	human	人类	178.0000
1	human	人类	206.0100
1	human	人类	179.0000
1	human	人类	204.9900
1	human	人类	218.0100
1	human	人类	196.9900
1	human	人类	193.0000
1	human	人类	174.0000
1	human	人类	262.0100
1	human	人类	300.0200
1	human	人类	208.9900
1	human	人类	182.0100
1	human	人类	196.0100
1	human	人类	195.0000
1	human	人类	163.9900
1	human	人类	344.0100
1	human	人类	182.0000
1	human	人类	201.0100
1	human	人类	252.0100
1	human	人类	185.9900
1	human	人类	186.9900
1	human	人类	198.9900
1	human	人类	201.0000
1	human	人类	156.0100
1	human	人类	156.0100
1	human	人类	156.0100
1	human	人类	156.0100
1	human	人类	164.9900
1	human	人类	166.0000
